from,to,weight,relationship
ripke,ek,1,1
ripke,kg,2,1
ripke,tesch,3,2
ripke,bk,2,1
tesch,em,1,1
tesch,cw,1,2
ripke,schwarz,3,2
schwarz,ml,3,2
schwarz,tik,1,1
schwarz,tk,1,1
schwarz,fk,1,1
schwarz,eh,1,1
schwarz,mg,1,1
schwarz,af,1,1
ripke,josselin,3,2
josselin,mp,2,2
josselin,wp,1,2
josselin,lb,3,2
josselin,cl,1,2
josselin,llb,1,2
josselin,mf,1,2
josselin,cw,1,2
josselin,m,1,2
schwarz,bg,1,1
schwarz,aat,1,1
schwarz,tesch,1,1
josselin,schwarz,1,1
josselin,tesch,1,1
josselin,ub,1,1